
1,2,1650.5,50,100,26-
2,2,3061,100,100,
3,2,2780.5,100,100,
4,2,4386,100,100,
5,2,3230,100,100,56-
6,2,4101,100,100,
0,0,912.5,42.5,85,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
11,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
12,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
13,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
14,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
15,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
16,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
17,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
18,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
19,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
20,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
21,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
22,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
23,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
24,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
25,2,1825,0,0,17-23-26-27-33-36-37-46-47-63-64-66-85-86-87-
